TimeFrom,TimeTo,Monday,Tuesday,Wednesday,Thursday,Friday
08:45,09:45,DSPL,BIL,MAD & PWA,MP-2B,WT
09:45,10:45,DSPL,BIL,MAD & PWA,MP-2B,DMBI
11:00,12:00,GIT,GIT,AI&DS,GIT,Web X
12:00,13:00,AI&DS,AI&DS,DMBI,DMBI,Mentoring
13:30,14:30,Web X,Web Lab,WT,Sensor Lab,TPO Activity
14:30,15:30,WT,Web Lab,Web X,Sensor Lab,
15:30,16:30,Honour,,Honour,Honour,
